PSO,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
0,69396.42278,1.0872E+13,141771.5016,87.46340667,254003980.8,67421.04,121.5431177,-2088.778313,446.9240433,20.68897423,626.6529449,612452206.8,1065399352,109.5308671,0.221787465,0.385983146,2.742537316,70.36588583,-3.246569192,-1.458138557,-0.531882834,-0.676063809,-0.825474351
1,27966.20221,8396370.996,73692.98317,57.16508028,40281318.78,26509.3,20.63060258,-2342.11301,327.3582284,18.88876397,250.3512246,43304702.22,141804737,23.29320203,0.052415797,-0.619047966,0.943927811,18.21310279,-3.662113424,-2.066263505,-0.925159809,-1.165507889,-1.392669006
2,12999.64513,187.7640505,44925.45115,48.72957147,12475930.5,12810.8,6.74832492,-2452.770501,293.4291195,16.33857789,118.7227692,9539523.731,36187625.85,12.71545218,0.026085976,-0.839584416,0.612579668,8.421978763,-3.736268357,-2.598376694,-1.350429451,-1.642387681,-1.930725129
3,12999.64513,185.4840295,38792.75303,47.64574535,12135549.86,12684.08,6.604162515,-2539.957447,289.8305171,16.33295817,117.9301365,8327712.22,32100666.62,11.55306171,0.020041751,-0.865955451,0.503127307,5.07111676,-3.776479909,-2.784293889,-1.584215712,-1.841408037,-2.161300018
4,11852.37321,138.4396617,36654.25768,45.91554214,10461467.09,11326.62,5.783177669,-2654.442964,285.9241367,16.12423836,108.1430776,7101151.219,26841690.37,9.958056694,0.01632941,-0.937264752,0.454152075,4.338824618,-3.805030905,-2.922206015,-1.958011762,-2.165228671,-2.646999769
5,11770.08722,138.0619868,34477.27122,44.99416185,9661091.099,11200.16,5.135765906,-2701.990645,282.1644082,16.07838725,105.4820789,4917936.978,24053109.16,9.528433479,0.014180391,-0.958337939,0.440682172,3.850696629,-3.820981793,-2.997844709,-2.130907138,-2.449455651,-2.836931621
6,11158.27582,106.9013269,33219.69613,43.55390014,8697012.659,10664.12,4.506009701,-2746.042715,277.5590409,15.83675709,101.0255598,4292064.414,22174620.99,8.675226737,0.012990744,-0.988580658,0.430739027,3.743372389,-3.829256134,-3.05784704,-2.477315085,-2.657837156,-3.162569694
7,10699.78062,106.3160739,31755.1864,42.58271056,8098495.223,10359.62,4.219960392,-2779.480199,275.0304962,15.69545275,98.03378139,3930638.625,20453116.3,7.919762394,0.011763782,-0.998217267,0.425122672,3.640645648,-3.834490473,-3.09919152,-2.677218507,-2.764252557,-3.364630079
8,10356.8863,51.79717631,31162.06299,41.80723234,7301078.036,9966.72,3.761206093,-2862.511064,271.7787084,15.6135792,93.79411789,3434868.094,18572817.09,7.52197648,0.010949354,-1.001527136,0.422146672,3.421788483,-3.838831786,-3.139994492,-2.907544102,-3.013247323,-3.458560252
9,10006.42213,51.01783436,29960.90588,41.35565501,7009065.619,9589.64,3.601748314,-2894.719127,268.5218733,15.55794881,91.58085311,2737452.289,16922881.07,6.975062544,0.010237497,-1.003699878,0.419080318,3.381937058,-3.840841371,-3.154648966,-3.027316795,-3.317269789,-3.515836429
10,9544.093902,50.0371488,28856.2941,40.71264656,6517778.279,9159.94,3.392406901,-2959.99452,265.9956582,15.44675449,88.75057597,2448319.663,15601512.49,6.334955158,0.009866691,-1.006744249,0.414272858,3.308133187,-3.84597071,-3.162107981,-3.17995055,-3.504193806,-3.748106049
11,9205.617495,49.69859432,28314.21981,40.41171396,6249527.186,8867.92,3.265910603,-3003.667949,264.7637992,15.35129077,84.87134895,2200754.589,14150003.25,6.12868543,0.008999462,-1.006824772,0.411265857,3.273912719,-3.848840852,-3.172394793,-3.260924383,-3.774928684,-3.885657503
12,8864.988642,48.70920984,28000.62474,40.11752579,5706743.024,8611.94,3.142802475,-3015.814786,264.2377115,15.26877055,82.93630147,1930278.995,13410974.01,5.494082589,0.008847157,-1.013316927,0.410981981,3.259525082,-3.850953589,-3.184017131,-3.435569235,-4.003909896,-4.178144372
13,8775.699841,48.33852792,27748.33568,39.57721662,5513411.513,8547.9,3.026044299,-3072.498861,263.9236624,15.17396584,80.161221,1693449.197,12572584.58,5.264690179,0.008212479,-1.016110249,0.409378317,3.198113582,-3.852053489,-3.187311241,-3.531498911,-4.162203367,-4.261093424
14,8513.995142,47.75943771,27241.48725,39.1254872,5284084.849,8361.72,2.880368532,-3095.638495,262.5479412,15.11114056,78.71822132,1573758.314,11929839.28,4.948702046,0.007528151,-1.018276886,0.408329188,3.179788663,-3.854979277,-3.193577436,-3.646190519,-4.230994225,-4.296334625
15,8259.170987,47.16554283,26393.4605,38.73772244,4858483.832,8233.06,2.799037738,-3153.440484,262.0802979,14.99869048,76.61133633,1469931.065,11005063.35,4.586222152,0.007464791,-1.019212886,0.406430296,3.157005121,-3.855882398,-3.194956807,-3.720504543,-4.314940895,-4.394159251
16,7867.864444,46.53480877,26066.54688,38.32979488,4704274.024,8164.66,2.688358087,-3205.887282,261.8995229,14.89761924,73.76755127,1375629.568,10535591.34,4.414207762,0.007370216,-1.019794154,0.406091063,3.149974821,-3.856276064,-3.197083605,-3.743057791,-4.381260033,-4.500141617
17,7796.529246,46.02801584,24958.77397,38.12579707,4369222.997,7861.8,2.598786688,-3218.526638,261.456369,14.88534833,72.86084803,1265009.134,9763183.439,4.12572743,0.006926819,-1.020834064,0.405188876,3.135064652,-3.85668443,-3.199470899,-3.79940412,-4.536534473,-4.669823381
18,7655.444,45.62522786,24788.71808,37.93081219,4302836.453,7796.32,2.489039792,-3295.351207,260.9720437,14.75728643,70.11731242,1120702.046,8979927.907,4.10872594,0.006718615,-1.021174361,0.404630146,3.123769676,-3.85703668,-3.203900681,-3.943841963,-4.657525998,-4.775647539
19,7493.428761,45.2866591,24517.87945,37.71871992,4236339.322,7499.36,2.402757398,-3344.154465,260.9720437,14.60343014,68.49924656,993410.8265,8497129.516,3.879387225,0.006685768,-1.021698222,0.404102163,3.106512859,-3.857377977,-3.207275288,-3.99432162,-4.704217182,-4.818123078
20,7414.194764,44.87745205,23780.64571,37.23163373,4059946.628,7473.96,2.312096407,-3369.697347,260.6446508,14.55126194,66.84216048,915645.4737,7959969.956,3.662959755,0.006428543,-1.02174651,0.403650002,3.094480082,-3.857889289,-3.208466724,-4.007161833,-4.770331301,-4.914367704
21,7330.658379,44.13142473,23581.07269,36.94666844,3858016.988,7318.68,2.264848709,-3393.102045,259.8997045,14.47788027,65.59318735,867721.625,7684130.764,3.489798753,0.006403174,-1.022460394,0.403304919,3.092041512,-3.858172614,-3.210122499,-4.189045863,-4.867319419,-4.922271063
22,7133.121129,43.64156244,23339.63745,36.66137463,3639541.442,7227.74,2.195559377,-3429.395097,259.3621715,14.42132985,65.03601622,832587.5682,7081281.702,3.343277891,0.006326534,-1.023881729,0.402889596,3.078953377,-3.858248558,-3.211787138,-4.197991285,-4.882502679,-5.091057289
23,7001.227317,43.38958929,23013.60558,36.43663266,3583197.88,7124.96,2.164812864,-3455.204515,258.9331362,14.32805979,64.22446074,788730.9313,6921012.06,3.063356435,0.006223288,-1.024146351,0.402126285,3.076747156,-3.858762174,-3.212881826,-4.215617665,-5.106599683,-5.153666117
24,6928.841264,42.94718264,22658.84841,36.42019906,3542001.989,6991.32,2.102808238,-3485.236821,258.4970458,14.21985224,63.66611493,740834.8926,6405327.301,2.957774567,0.006127522,-1.024272086,0.402092399,3.071523527,-3.859190916,-3.214180968,-4.336552955,-5.168133419,-5.163216753
25,6877.379271,42.33515031,22287.14287,36.09884888,3397952.403,6850.1,2.060555711,-3532.958299,258.3258409,14.18048235,62.52546878,701232.5655,5959124.506,2.943923997,0.006043151,-1.025052286,0.401822112,3.069201543,-3.859363548,-3.217479854,-4.360130315,-5.250818364,-5.295992144
26,6788.19727,42.05820617,21879.56509,35.9651853,3337672.801,6716.6,2.049428164,-3537.716932,257.4345505,14.09019447,61.36034211,680856.7817,5673768.94,2.820632947,0.005976605,-1.025273957,0.401566647,3.068678811,-3.859459587,-3.217479854,-4.415547833,-5.37712799,-5.343529158
27,6720.861974,41.75377911,21787.53629,35.80288291,3278493.174,6621.84,2.031999589,-3558.882495,256.9918427,14.03386105,61.07613223,645957.7239,5633038.675,2.697426757,0.005974127,-1.025470841,0.401424091,3.06294089,-3.859635218,-3.219996205,-4.457628159,-5.398242246,-5.394522093
28,6555.486073,41.52955411,21386.87839,35.73410044,3179282.345,6519.04,1.995278223,-3570.636686,256.1214736,13.98308241,59.55070711,623735.9585,5378399.955,2.561605135,0.005748411,-1.025679776,0.401301161,3.058512986,-3.859864032,-3.221340165,-4.611714918,-5.460434367,-5.456984528
